bus_id,n_hours,mean_lmp,mae_ls,mae_oracle,median_ae,bias,max_abs_err
210,8784,29.74815500170765,5.974141447315249,4.2470637226086465,8.279499999908069e-05,-3.3883597539025665,284.32910312
219,8784,29.746260644467217,5.97276733968238,4.245224348812179,8.279499999908069e-05,-3.3870768101505746,270.98139712
211,8784,29.74782792167577,5.970527473780909,4.241337966502859,8.279499999908069e-05,-3.3860881060988337,279.86391012
206,8784,29.74865844660747,5.970523058066284,4.2411743467928416,8.279499999908069e-05,-3.386285340549269,285.30246912
208,8784,29.748768593237706,5.969823042780416,4.2400338082782305,8.279499999908069e-05,-3.3858924871921627,285.51540412
207,8784,29.748768593237706,5.969823042780416,4.2400338082782305,8.279499999908069e-05,-3.3858924871921627,285.51540412
205,8784,29.749302469831512,5.965902556994868,4.233631861001959,8.279499999908069e-05,-3.3836280278804134,286.54759212
209,8784,29.74938218340164,5.96552111430091,4.233004088981143,8.279499999908069e-05,-3.3834252191156398,286.70170512
204,8784,29.749769783811473,5.962669337416561,4.228337088634021,8.279499999908069e-05,-3.3817733136706067,287.45107912000003
202,8784,29.750243096994538,5.959193335186734,4.222638018736786,8.279499999908069e-05,-3.3797560764347363,288.36617912
201,8784,29.75041082035519,5.957987271854782,4.220658247193366,8.279499999908069e-05,-3.3790576113312385,288.69045112000003
214,8784,29.748571134676688,5.950228948629739,4.20846564203242,8.279499999908069e-05,-3.37387346973083,271.53408712000004
115,8784,29.730833199681236,5.766061184752842,4.194491421912996,8.279499999908069e-05,-3.1181595508695032,187.25925811999997
216,8784,29.749615184540076,5.921995230845154,4.163560564805929,8.261000000331364e-05,-3.3567148264331252,259.83266812
203,8784,29.75568998269581,5.920442303899359,4.160343849723291,8.261000000331364e-05,-3.3571853719594134,298.89703512
124,8784,29.735187434653913,5.765923189201979,4.151563975634425,8.279499999908069e-05,-3.149643508798948,188.53517812
224,8784,29.75282372210838,5.906957995794648,4.139668699879584,8.279499999908069e-05,-3.34803779172211,271.45744012
116,8784,29.768518443875227,5.76840397738536,4.13238828162354,8.279499999908069e-05,-3.219667322090161,191.83500412
215,8784,29.751075577868853,5.898707660232998,4.12694691864988,8.279499999908069e-05,-3.342401211508852,254.72205512
221,8784,29.751361351548272,5.8936450003103005,4.118687464154921,8.261000000331364e-05,-3.3394939243328725,252.24792912000004
222,8784,29.751468436361563,5.89174840128789,4.115707434831113,8.261000000331364e-05,-3.3384045887930047,251.32088912
218,8784,29.751492517076503,5.891321800399978,4.115061150573069,8.261000000331364e-05,-3.3381595400929838,251.11235612000002
217,8784,29.75163378096539,5.888822659918763,4.111279201790633,8.279499999908069e-05,-3.336722519616208,249.88943111999998
119,8784,29.76414152971311,5.777232200706073,4.090622918608029,8.279499999908069e-05,-3.241548356412701,201.32530412
103,8784,29.742326697404373,5.770141354347966,4.088228765630918,8.279499999908069e-05,-3.2006077086334153,190.62719612
114,8784,29.760553118169398,5.776669971325241,4.079258021347021,8.279499999908069e-05,-3.2419849221040904,197.44257812
120,8784,29.760335508310565,5.787641492238634,4.0557064547952235,8.279499999908069e-05,-3.260575333692457,209.57773812
101,8784,29.748000090846993,5.780951637633933,4.046926211161263,8.261000000331364e-05,-3.241502273668871,192.32109012
102,8784,29.74817987101548,5.781379722415649,4.045817269207103,8.261000000331364e-05,-3.2428056854218648,192.37290711999998
111,8784,29.754882884904372,5.7861878243471985,4.04382585548439,8.279499999908069e-05,-3.2578720257921128,201.43441012
104,8784,29.74868107889344,5.782726164851086,4.042686794895461,8.279499999908069e-05,-3.246537669544629,192.49323212000002
109,8784,29.749091516621128,5.783914970284473,4.0402314985852605,8.279499999908069e-05,-3.2495937823074303,192.59176512
105,8784,29.749194068419857,5.784059971647927,4.039917796565545,8.279499999908069e-05,-3.2500628259632505,192.68886212
123,8784,29.7582421951275,5.79401189635116,4.038223705941442,8.261000000331364e-05,-3.2710401697846656,214.11657712
107,8784,29.733739890938068,5.8257307610186215,4.037503808522835,8.261000000331364e-05,-3.285222259797263,125.00176710000001
106,8784,29.749887635359745,5.786070910262406,4.035976193766619,8.261000000331364e-05,-3.255038931211878,192.90163311999999
110,8784,29.75043020093352,5.787667367327775,4.0330597927950596,8.279499999908069e-05,-3.25892552995331,193.06961311999999
112,8784,29.7530387859745,5.792337714953658,4.029708871165404,8.279499999908069e-05,-3.267208419113548,205.58267112
113,8784,29.754122373747723,5.8013364943602115,4.019491195077413,6.85900000014783e-05,-3.280023149478599,215.61151611999998
108,8784,29.740550197062838,5.8027035880567945,4.01883173379383,8.261000000331364e-05,-3.2720604553863213,153.83388612
